2018-11-29 01:19:29 Jepsen starting etcd :--log-output :stderr :--name ec2-54-204-131-219.compute-1.amazonaws.com :--listen-peer-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2380 :--initial-cluster ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380,ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-29 01:19:29.756574 I | etcdmain: etcd Version: 3.1.5
2018-11-29 01:19:29.764571 I | pkg/netutil: resolving ec2-54-204-131-219.compute-1.amazonaws.com:2380 to 172.31.29.222:2380
2018-11-29 01:19:33.765697 I | etcdserver: name = ec2-54-204-131-219.compute-1.amazonaws.com
2018-11-29 01:19:33.765734 I | etcdserver: data dir = ec2-54-204-131-219.compute-1.amazonaws.com.etcd
2018-11-29 01:19:33.765743 I | etcdserver: member dir = ec2-54-204-131-219.compute-1.amazonaws.com.etcd/member
2018-11-29 01:19:33.765749 I | etcdserver: heartbeat = 100ms
2018-11-29 01:19:33.765753 I | etcdserver: election = 1000ms
2018-11-29 01:19:33.765759 I | etcdserver: snapshot count = 10000
2018-11-29 01:19:33.765787 I | etcdserver: advertise client URLs = http://ec2-54-204-131-219.compute-1.amazonaws.com:2379
2018-11-29 01:19:33.765796 I | etcdserver: initial advertise peer URLs = http://ec2-54-204-131-219.compute-1.amazonaws.com:2380
2018-11-29 01:19:33.765818 I | etcdserver: initial cluster = ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-29 01:19:33.771443 I | etcdserver: starting member 10bf218ab4a912ed in cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.771473 I | raft: 10bf218ab4a912ed became follower at term 0
2018-11-29 01:19:33.771484 I | raft: newRaft 10bf218ab4a912ed [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 01:19:33.771490 I | raft: 10bf218ab4a912ed became follower at term 1
2018-11-29 01:19:33.784304 I | rafthttp: starting peer 8893f9e0ef4f611f...
2018-11-29 01:19:33.784357 I | rafthttp: started HTTP pipelining with peer 8893f9e0ef4f611f
2018-11-29 01:19:33.787242 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-29 01:19:33.789807 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-29 01:19:33.789853 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream Message reader)
2018-11-29 01:19:33.789900 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-29 01:19:33.790234 I | rafthttp: started peer 8893f9e0ef4f611f
2018-11-29 01:19:33.790278 I | rafthttp: added peer 8893f9e0ef4f611f
2018-11-29 01:19:33.790298 I | rafthttp: starting peer e119ce2abc051435...
2018-11-29 01:19:33.790335 I | rafthttp: started HTTP pipelining with peer e119ce2abc051435
2018-11-29 01:19:33.791390 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-29 01:19:33.791412 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-29 01:19:33.791981 I | rafthttp: started peer e119ce2abc051435
2018-11-29 01:19:33.792008 I | rafthttp: added peer e119ce2abc051435
2018-11-29 01:19:33.792025 I | rafthttp: starting peer e7c1c60b864ae98b...
2018-11-29 01:19:33.792069 I | rafthttp: started HTTP pipelining with peer e7c1c60b864ae98b
2018-11-29 01:19:33.793185 I | rafthttp: started streaming with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-29 01:19:33.794613 I | rafthttp: started peer e7c1c60b864ae98b
2018-11-29 01:19:33.794640 I | rafthttp: added peer e7c1c60b864ae98b
2018-11-29 01:19:33.794658 I | rafthttp: starting peer f6f0c3a0ba455ab3...
2018-11-29 01:19:33.794680 I | rafthttp: started HTTP pipelining with peer f6f0c3a0ba455ab3
2018-11-29 01:19:33.794969 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-29 01:19:33.795014 I | rafthttp: started streaming with peer e119ce2abc051435 (stream Message reader)
2018-11-29 01:19:33.795134 I | rafthttp: started streaming with peer e7c1c60b864ae98b (writer)
2018-11-29 01:19:33.795320 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-29 01:19:33.795588 I | rafthttp: started streaming with peer e7c1c60b864ae98b (stream MsgApp v2 reader)
2018-11-29 01:19:33.796000 I | rafthttp: started streaming with peer e7c1c60b864ae98b (stream Message reader)
2018-11-29 01:19:33.796301 I | rafthttp: started streaming with peer e7c1c60b864ae98b (writer)
2018-11-29 01:19:33.798378 I | rafthttp: started peer f6f0c3a0ba455ab3
2018-11-29 01:19:33.798403 I | rafthttp: added peer f6f0c3a0ba455ab3
2018-11-29 01:19:33.798420 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 01:19:33.798674 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-29 01:19:33.801779 I | rafthttp: peer e119ce2abc051435 became active
2018-11-29 01:19:33.801803 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 writer)
2018-11-29 01:19:33.801816 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-29 01:19:33.803303 I | rafthttp: peer 8893f9e0ef4f611f became active
2018-11-29 01:19:33.803329 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-29 01:19:33.803445 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream MsgApp v2 writer)
2018-11-29 01:19:33.803687 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream Message writer)
2018-11-29 01:19:33.803715 I | rafthttp: peer e7c1c60b864ae98b became active
2018-11-29 01:19:33.803727 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream MsgApp v2 writer)
2018-11-29 01:19:33.803741 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream Message reader)
2018-11-29 01:19:33.803960 I | rafthttp: peer f6f0c3a0ba455ab3 became active
2018-11-29 01:19:33.803983 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 writer)
2018-11-29 01:19:33.804150 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message writer)
2018-11-29 01:19:33.804450 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message writer)
2018-11-29 01:19:33.804491 I | etcdserver/membership: added member 10bf218ab4a912ed [http://ec2-54-204-131-219.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.804613 I | etcdserver/membership: added member 8893f9e0ef4f611f [http://ec2-34-229-59-126.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.804741 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream Message writer)
2018-11-29 01:19:33.804812 I | etcdserver/membership: added member e119ce2abc051435 [http://ec2-100-24-16-184.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.804929 I | etcdserver/membership: added member e7c1c60b864ae98b [http://ec2-52-90-218-187.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.805047 I | etcdserver/membership: added member f6f0c3a0ba455ab3 [http://ec2-54-236-10-223.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.806756 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-29 01:19:33.806892 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-29 01:19:33.806948 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-29 01:19:33.807085 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message reader)
2018-11-29 01:19:33.807513 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream Message reader)
2018-11-29 01:19:33.807618 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream MsgApp v2 reader)
2018-11-29 01:19:33.870761 I | raft: 10bf218ab4a912ed [term: 1] received a MsgVote message with higher term from e119ce2abc051435 [term: 2]
2018-11-29 01:19:33.870808 I | raft: 10bf218ab4a912ed became follower at term 2
2018-11-29 01:19:33.870820 I | raft: 10bf218ab4a912ed [logterm: 1, index: 5, vote: 0] cast MsgVote for e119ce2abc051435 [logterm: 1, index: 5] at term 2
2018-11-29 01:19:33.872440 I | raft: raft.node: 10bf218ab4a912ed elected leader e119ce2abc051435 at term 2
2018-11-29 01:19:33.877445 I | etcdserver: published {Name:ec2-54-204-131-219.compute-1.amazonaws.com ClientURLs:[http://ec2-54-204-131-219.compute-1.amazonaws.com:2379]} to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.877642 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 01:19:33.877663 I | embed: ready to serve client requests
2018-11-29 01:19:33.878101 N | embed: serving insecure client requests on 172.31.29.222:2379, this is strongly discouraged!
2018-11-29 01:19:33.884946 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 01:19:33.884987 I | etcdserver/api: enabled capabilities for version 3.1
